scenario,interval,channel_type,channel_id,metric,n_runs,mean,std,sem,ci95_low,ci95_high,min,max
nominal,nominal,C_iso,S2,u,100,0.08930922879785134,0.0009272626868096963,9.272626868096964e-05,0.08912748531123664,0.08949097228446605,0.088088215495764,0.09192301797488263
nominal,nominal,C_iso_availability_discounted,S1,b,100,0.7178048775237419,0.005824214773568145,0.0005824214773568145,0.7166633314281226,0.7189464236193612,0.7047122140801084,0.7304186352973828
nominal,nominal,C_iso_availability_discounted,S1,b_norm,100,0.8203071725480168,0.006563518370510199,0.0006563518370510199,0.8190207229473968,0.8215936221486367,0.8066501045693855,0.8352734465589905
nominal,nominal,C_iso_availability_discounted,S1,d,100,0.15722224515160152,0.005723094065937999,0.0005723094065937999,0.15610051871467767,0.15834397158852537,0.14397302025515882,0.1690955112281927
nominal,nominal,C_iso_availability_discounted,S1,d_norm,100,0.17969282745198345,0.006563518370510195,0.0006563518370510195,0.17840637785136346,0.18097927705260344,0.16472655344100948,0.19334989543061445
nominal,nominal,C_iso_availability_discounted,S1,p_ok,100,0.7802913161860704,0.00575544256635425,0.000575544256635425,0.7791632494430649,0.7814193829290759,0.7678806788941267,0.7931567193886557
nominal,nominal,C_iso_availability_discounted,S1,selected_score,100,0.8203071725480168,0.006563518370510199,0.0006563518370510199,0.8190207229473968,0.8215936221486367,0.8066501045693855,0.8352734465589905
nominal,nominal,C_iso_availability_discounted,S1,u,100,0.12497287732465633,0.0009220034132467556,9.220034132467556e-05,0.12479216465565997,0.1251535899936527,0.12350868482346172,0.12864260717272272
nominal,nominal,C_iso_availability_discounted,S2,b,100,0.7180464711570227,0.005388664161405992,0.0005388664161405992,0.7169902929813872,0.7191026493326582,0.7037324198794562,0.729259875509674
nominal,nominal,C_iso_availability_discounted,S2,b_norm,100,0.8204334567657182,0.00612411209660496,0.000612411209660496,0.8192331307947837,0.8216337827366528,0.8040355085222551,0.832619131123237
nominal,nominal,C_iso_availability_discounted,S2,d,100,0.15714061985902938,0.0053599838641205716,0.0005359983864120572,0.15609006302166176,0.158191176696397,0.146616237047492,0.17145562204997297
nominal,nominal,C_iso_availability_discounted,S2,d_norm,100,0.17956654323428187,0.006124112096604966,0.0006124112096604966,0.17836621726334728,0.18076686920521645,0.16738086887676276,0.19596449147774486
nominal,nominal,C_iso_availability_discounted,S2,p_ok,100,0.7804529256489967,0.005355841990604565,0.0005355841990604565,0.7794031806188382,0.7815026706791552,0.7661383989147417,0.7913218192310911
nominal,nominal,C_iso_availability_discounted,S2,selected_score,100,0.8204334567657182,0.00612411209660496,0.000612411209660496,0.8192331307947837,0.8216337827366528,0.8040355085222551,0.832619131123237
nominal,nominal,C_iso_availability_discounted,S2,u,100,0.1248129089839481,0.0008911134735913461,8.91113473591346e-05,0.1246382507431242,0.12498756722477201,0.12363949685857606,0.1273248025446008
nominal,nominal,G,S1_S2,b,100,0.7465719139609152,0.0055321661679792935,0.0005532166167979294,0.7454876093919912,0.7476562185298391,0.735248700160186,0.7615119368340726
nominal,nominal,G,S1_S2,b_norm,100,0.8197169163588625,0.005896949771925042,0.0005896949771925042,0.8185611142035651,0.8208727185141598,0.8073074939563298,0.8353379991323393
nominal,nominal,G,S1_S2,d,100,0.16418206486740705,0.00532771688446772,0.0005327716884467721,0.16313783235805138,0.16522629737676273,0.15012507137218858,0.17550046861277876
nominal,nominal,G,S1_S2,d_norm,100,0.18028308364113743,0.005896949771925058,0.0005896949771925058,0.17912728148584012,0.18143888579643475,0.16466200086766064,0.19269250604367028
nominal,nominal,G,S1_S2,p_ok,100,0.7911949245467543,0.005416191803895576,0.0005416191803895576,0.7901333509531908,0.7922564981403178,0.7798741157737035,0.805693432730942
